process,description,unit,tag,is_control,importance,process_time,process_order,process_group
Mix,中和度(NaOH),,SSAP-FJ3011.PV,,,3,1,1
Mix,中和度(AA),,SSAP-FJ303A.PV,,,3,1,1
Mix,中和度(AA),,SSAP-FJ3022.PV,,,3,1,1
dope_tank,,,SSAP-LT309.PV,,,,2,
dope_tank,,,SSAP-LT310.PV,,,,2,
dope_tank,SAP,,SSAP-FR3111.PV,,,,2,
dope_tank,SAP,,SSAP-FR3112.PV,,,,2,
dope_tank,反應槽液位,,SSAP-LT309.PV,,,,2,
dope_tank,反應槽液位,,SSAP-LT310.PV,,,,2,
sub_recipe,發泡劑,,SSAP-FT1170.PV,,,5,3,2
sub_recipe,發泡劑,,SSAP-FT1173.PV,,,5,3,2
sub_recipe,發泡劑,,SSAP-FT3161.PV,,,5,3,2
sub_recipe,發泡劑,,SSAP-FT3162.PV,,,5,3,2
sub_recipe,細粉,,SSAP-WV317A.PV,,,5,3,2
sub_recipe,細粉,,SSAP-WV317B.PV,,,5,3,2
react,架橋劑,,SSAP-FJ3021.PV,,,20,4,2
dry,,,,,,20,5,2
filter,,,,,,15,6,2
half_tank,半成品儲槽,kg/hr,SSAP-WT370A-F,N,,,7,
half_tank,,,SSAP-WV383.PV,,,,7,
half_tank,半成品儲槽,kg/hr,SSAP-WT370B-F,N,,,7,
W383,W383出料量,Kg/H,SSAP-WV383.PV,Y,H,5,8,3
W383,W383槽重,,SSAP-WT383.PV,N,,5,8,3
W383,J384轉速,HZ,SSAP-SSJ384.PV,Y,H,5,8,3
W383,J-384電流,A,SSAP-MJ384.PV,N,,5,8,3
W383,EC添加量,kg/H,SSAP-FIP382.PV,Y,H,5,8,3
W383,EC添加量,kg/H,SSAP-FJ3843.PV,Y,H,5,8,3
W383,F-389真空度,mmH2O,SSAP-DPF389.PV,N,,5,8,3
W383,B389風量,m3/H,SSAP-FB389.PV,N,H,5,8,3
W383,F-389溫度,℃,SSAP-TTF389.PV,N,,5,8,3
W383,PVU01-S18壓力,kg/cm2,SSAP-PVU01.PV,N,H,5,8,3
D385A,D385A濕度,%,SSAP-HD385A.PV,N,H,35,9,3
D385A,D385A真空度,,SSAP-PD385A.PV,Y,H,35,9,3
D385A,PD385A1-S18壓力,kg/cm2,SSAP-PD385A1.PV,Y,H,35,9,3
D385A,PD385A2-S18壓力,kg/cm2,SSAP-PD385A2.PV,Y,H,35,9,3
D385A,D385A電流,A,SSAP-MD385A.PV,N,H,35,9,3
D385A,TD385A13 出口冷凝水溫度,℃,SSAP-TD385A13.PV,Y,H,35,9,3
D385A,TD385A14 出口冷凝水溫度,℃,SSAP-TD385A14.PV,Y,H,35,9,3
D385A,D385A入口蒸汽溫度,℃,SSAP-TD385A16.PV,Y,H,35,9,3
D385A,D385A入口蒸汽溫度,℃,SSAP-TD385A17.PV,Y,H,35,9,3
D385A,TD385A8 入口粉溫,℃,SSAP-TD385A8.PV,N,,35,9,3
D385A,TD385A7  粉溫,℃,SSAP-TD385A7.PV,N,,35,9,3
D385A,TD385A6  粉溫,℃,SSAP-TD385A6.PV,N,,35,9,3
D385A,TD385A5  粉溫,℃,SSAP-TD385A5.PV,N,,35,9,3
D385A,TD385A4  粉溫,℃,SSAP-TD385A4.PV,N,,35,9,3
D385A,TD385A3  粉溫,℃,SSAP-TD385A3.PV,N,,35,9,3
D385A,TD385A2  粉溫,℃,SSAP-TD385A2.PV,N,,35,9,3
D385A,TD385A1  出口粉溫,℃,SSAP-TD385A1.PV,Y,H,35,9,3
D385,D385補風量,Nm3/H,SSAP-FB385.PV,Y,,80,10,3
D385,D385負壓,mm-H2O,SSAP-PD3850.PV,Y,H,80,10,3
D385,D385電流,A,SSAP-MD385.PV,N,,80,10,3
D385,加溫補氣APC-S3溫度,℃,SSAP-TE385.PV,N,,80,10,3
D385,E-385 AP流量,Nm3/Hr,SSAP-FE3851.PV,N,,80,10,3
D385,E-385壓力,mmH2O,SSAP-PE385.PV,N,,80,10,3
D385,D385濕度,%,SSAP-HD385.PV,N,H,80,10,3
D385,D385入口蒸汽溫度,℃,SSAP-TD3851.PV,Y,H,80,10,3
D385,D385入口蒸汽溫度,℃,SSAP-TD3855.PV,Y,H,80,10,3
D385,D385 CD溫度,℃,SSAP-TD3853.PV,Y,H,80,10,3
D385,D385 CD溫度,℃,SSAP-TD3854.PV,Y,H,80,10,3
D385,D385蒸氣壓力,kg/cm2,SSAP-PD3851.PV,Y,H,80,10,3
D385,D385入口粉體溫度,℃,SSAP-TD385A.PV,N,,80,10,3
D385,D385粉體溫度,℃,SSAP-TD385D.PV,N,,80,10,3
D385,D385粉體溫度,℃,SSAP-TD385B.PV,N,,80,10,3
D385,D385粉體溫度,℃,SSAP-TD385E.PV,N,,80,10,3
D385,D385粉體溫度,℃,SSAP-TD385C.PV,N,,80,10,3
D385,D385出口粉體溫度,℃,SSAP-TD385F.PV,Y,H,80,10,3
D386,E-386 WRR溫度,℃,SSAP-TD3863.PV,N,,20,11,3
D386,E-386 WR 流量,T/Hr,SSAP-FD3863.PV,N,,20,11,3
D386,D-386出口溫度,℃,SSAP-TD3862.PV,Y,H,20,11,3
D386,D-386入口粉溫,℃,SSAP-TD3861.PV,N,,20,11,3
D386,D-386電流,A,SSAP-MD386.PV,N,,20,11,3
